,Unnamed: 0,Unnamed: 0.1,name,address,location,rating,total_ratings,types,ref,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,smileys,cvr_number,checked_findsmiley,city_name
0,0,ChIJj6fF7HtWUkYRU7vKWrLPJqQ,Restaurant Albatrossen,"Brøndby Havnevej 20, Hvidovre","(55.6097222, 12.4430556)",4.0,426.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJj6fF7HtWUkYRU7vKWrLPJqQ,OPERATIONAL,"Brøndby Havnevej 20, 2650 Hvidovre, Denmark",41 10 37 40,2.0,https://www.albatrossen.dk/,"('1130', '1630'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100')","[1, 1, 1, 1]",29334544,1,Hvidovre
1,1,ChIJu3EP8tRXUkYRic6gYoR43Ds,Havkatten,"Brøndby Havnevej 24, Hvidovre","(55.6099069, 12.4429091)",4.0,79.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJu3EP8tRXUkYRic6gYoR43Ds,OPERATIONAL,"Brøndby Havnevej 24, 2650 Hvidovre, Denmark",20 20 22 87,,http://havkatten.dk/,"('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600')","[1, 1, 2, 1]",38843397,1,Hvidovre
2,2,ChIJiT4i0w5XUkYRCmvyVS5JE9w,Havnen,"Brøndby Havnevej 13, Hvidovre","(55.6094051, 12.4440286)",3.0,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJiT4i0w5XUkYRCmvyVS5JE9w,OPERATIONAL,"Brøndby Havnevej 13, 2650 Hvidovre, Denmark",,,,"('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300')",,,1,Hvidovre
3,3,ChIJdapK5clWUkYRmKLS85w1D0s,Restaurant Engtoftegård,"Vestre Gade 32, Brøndby","(55.655276, 12.440763)",4.3,561.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJdapK5clWUkYRmKLS85w1D0s,OPERATIONAL,"Vestre Gade 32, 2605 Brøndby, Denmark",61 63 24 94,2.0,http://engtoftegard.dk/,"('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130')",['Elite'],39413426,1,Brøndby
4,4,ChIJd3SvSuNXUkYRExpg8o72LUQ,Thorleif og Stine,"Vestre Gade 23, Brøndby","(55.6565728, 12.4400495)",5.0,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJd3SvSuNXUkYRExpg8o72LUQ,OPERATIONAL,"Vestre Gade 23, 2605 Brøndby, Denmark",,,,,,,1,Brøndby
5,5,ChIJnzBp7zRRUkYRxcJ1K0LxKQc,Cafe Sixpence,"Brøndbyøster, Brøndbyøster Torv 37, Brøndby","(55.66353950000001, 12.4402804)",4.2,209.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJnzBp7zRRUkYRxcJ1K0LxKQc,OPERATIONAL,"Brøndbyøster, Brøndbyøster Torv 37, 2605 Brøndby, Denmark",36 83 66 82,2.0,http://sixpence-restaurant.dk/,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",,,1,Brøndby
6,6,ChIJeQEKjzRRUkYRR8riW9eVcDs,Torvets Cafe & Pizzaria,"Brøndbyøster Torv 18, Brøndby","(55.66412700000001, 12.438693)",4.0,97.0,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",ChIJeQEKjzRRUkYRR8riW9eVcDs,OPERATIONAL,"Brøndbyøster Torv 18, 2605 Brøndby, Denmark",36 48 02 21,,https://torvets-cafe.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1200', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",,,1,Brøndby
7,7,ChIJw0jc8TRRUkYRrv6MklmF90k,Kai Sushi,"Brøndbyøster Torv 29, Brøndby","(55.66356570000001, 12.4403082)",4.4,134.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJw0jc8TRRUkYRrv6MklmF90k,OPERATIONAL,"Brøndbyøster Torv 29, 2605 Brøndby, Denmark",35 11 68 88,2.0,http://www.kaisushi.dk/,"('1500', '2200'); ('1200', '2130'); ('1200', '2130'); ('1200', '2130'); ('1200', '2130'); ('1200', '2200'); ('1200', '2200')",,,1,Brøndby
8,8,ChIJqaoK8DRRUkYR74FcYuCrFIo,Rm,"Brøndbyøster Torv 21, Brøndby","(55.66385200000001, 12.440498)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJqaoK8DRRUkYR74FcYuCrFIo,CLOSED_TEMPORARILY,"Brøndbyøster Torv 21, 2605 Brøndby, Denmark",,,,,,,1,Brøndby
9,9,ChIJ55nnSTRRUkYRmhqoshskaq4,La Serra,"Nygårds Plads 2M, Brøndby","(55.66560869999999, 12.4417198)",3.5,89.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ55nnSTRRUkYRmhqoshskaq4,OPERATIONAL,"Nygårds Pl. 2M, 2605 Brøndby, Denmark",36 48 00 59,2.0,https://www.la-serra.com/,"('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",,,1,Brøndby
