,name,address,location,rating,total_ratings,types,ref,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,postal_code,city_name,smileys,cvr_number,checked_findsmiley
0,Restaurant Albatrossen,"Brøndby Havnevej 20, Hvidovre","(55.6097222, 12.4430556)",04:00:00,426,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJj6fF7HtWUkYRU7vKWrLPJqQ,OPERATIONAL,"Brøndby Havnevej 20, 2650 Hvidovre, Denmark",41 10 37 40,02:00:00,https://www.albatrossen.dk/,"('1130', '1630'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100')",1900-04-19 10:00:00,Hvidovre,"[1, 1, 1, 1]",29334544,1
1,Havkatten,"Brøndby Havnevej 24, Hvidovre","(55.6099069, 12.4429091)",04:00:00,79,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJu3EP8tRXUkYRic6gYoR43Ds,OPERATIONAL,"Brøndby Havnevej 24, 2650 Hvidovre, Denmark",20 20 22 87,,http://havkatten.dk/,"('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600')",1900-04-19 10:00:00,Hvidovre,"[1, 1, 2, 1]",38843397,1
2,Restaurant Engtoftegård,"Vestre Gade 32, Brøndby","(55.655276, 12.440763)",04:03:00,561,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJdapK5clWUkYRmKLS85w1D0s,OPERATIONAL,"Vestre Gade 32, 2605 Brøndby, Denmark",61 63 24 94,02:00:00,http://engtoftegard.dk/,"('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130')",1900-04-17 13:00:00,Brøndby,['Elite'],39413426,1
3,Cafe Sixpence,"Brøndbyøster, Brøndbyøster Torv 37, Brøndby","(55.66353950000001, 12.4402804)",04:02:00,209,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJnzBp7zRRUkYRxcJ1K0LxKQc,OPERATIONAL,"Brøndbyøster, Brøndbyøster Torv 37, 2605 Brøndby, Denmark",36 83 66 82,02:00:00,http://sixpence-restaurant.dk/,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",1900-04-17 13:00:00,Brøndby,,0,1
4,Torvets Cafe & Pizzaria,"Brøndbyøster Torv 18, Brøndby","(55.66412700000001, 12.438693)",04:00:00,97,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",ChIJeQEKjzRRUkYRR8riW9eVcDs,OPERATIONAL,"Brøndbyøster Torv 18, 2605 Brøndby, Denmark",36 48 02 21,,https://torvets-cafe.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1200', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",1900-04-17 13:00:00,Brøndby,,0,1
5,Kai Sushi,"Brøndbyøster Torv 29, Brøndby","(55.66356570000001, 12.4403082)",04:04:00,134,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJw0jc8TRRUkYRrv6MklmF90k,OPERATIONAL,"Brøndbyøster Torv 29, 2605 Brøndby, Denmark",35 11 68 88,02:00:00,http://www.kaisushi.dk/,"('1500', '2200'); ('1200', '2130'); ('1200', '2130'); ('1200', '2130'); ('1200', '2130'); ('1200', '2200'); ('1200', '2200')",1900-04-17 13:00:00,Brøndby,,0,1
6,La Serra,"Nygårds Plads 2M, Brøndby","(55.66560869999999, 12.4417198)",03:05:00,89,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ55nnSTRRUkYRmhqoshskaq4,OPERATIONAL,"Nygårds Pl. 2M, 2605 Brøndby, Denmark",36 48 00 59,02:00:00,https://www.la-serra.com/,"('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",1900-04-17 13:00:00,Brøndby,,0,1
7,Restaurant og Café Nielsen,"Nygårds Plads 3A, Brøndby","(55.6659584, 12.4377021)",03:09:00,190,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJO3kcjDNRUkYRsjy6NNavUw0,OPERATIONAL,"Nygårds Pl. 3A, 2605 Brøndby, Denmark",88 77 20 70,02:00:00,http://www.restaurantogcafenielsen.dk/,,1900-04-17 13:00:00,Brøndby,,0,1
8,Brøndby Kebab Grill,"Nygårds Plads 2, Brøndby","(55.66559119999999, 12.4410881)",04:02:00,38,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",ChIJoyVNQjRRUkYRBFkRmwybNxc,OPERATIONAL,"Nygårds Pl. 2, 2605 Brøndby, Denmark",36 47 49 35,,https://www.hungry.dk/broendby/broendby-kebab-grill/?utm_source=google&utm_medium=gmb&utm_campaign=local,"('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000')",1900-04-17 13:00:00,Brøndby,,0,1
9,Quickstop To Go,"perron Quick Stop to go (Dsb, Gillesager 1 På Brøndby Øster stations, Brøndby","(55.6650521, 12.4409591)",04:05:00,41,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJw3N3YjRRUkYRHvmfCic5_ys,OPERATIONAL,"Gillesager 1 På Brøndby Øster stations, perron Quick Stop to go (Dsb, 2605 Brøndby, Denmark",91 72 39 39,,https://quickstop.meal4u.dk/,"('1000', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '0000'); ('1000', '0000')",1900-04-17 13:00:00,Brøndby,,0,1
10,Bella Mamma Pizza - Brøndby,"Turpinssvinget 7, Brøndby","(55.6657905, 12.4356861)",03:06:00,59,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJYWQGlTNRUkYRdia53hIhIok,OPERATIONAL,"Turpinssvinget 7, 2605 Brøndby, Denmark",36 75 77 87,02:00:00,https://bellamammapizza.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1200', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1200', '2200')",1900-04-17 13:00:00,Brøndby,"[1, 1, 2, 1]",38907115,1
11,McDonald's,"Brøndbyøstervej 1, Brøndby","(55.668698, 12.43699)",03:04:00,1190,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJDRvoEjFRUkYRuqkue7JPoi0,OPERATIONAL,"Brøndbyøstervej 1, 2605 Brøndby, Denmark",27 80 09 12,02:00:00,https://www.mcdonalds.com/dk/da-dk.html/?utm_source=google_location&utm_medium=organic&utm_campaign=85,"('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100')",1900-04-17 13:00:00,Brøndby,['Elite'],25651960,1
12,Krua Thai Catering,"2. TV, Fjeldhammervej 17 b, Rødovre","(55.6748304, 12.4393699)",03:09:00,7,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ9xoBHEdRUkYRFRNBdMb1fk0,OPERATIONAL,"2. TV, Fjeldhammervej 17 b, 2610 Rødovre, Denmark",25 94 82 28,,https://kruathaicatering.dk/,"('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000')",1900-04-17 18:00:00,Rødovre,,0,1
13,Restaurant Espehus,"Korsdalsvej 77, Rødovre","(55.6797447, 12.4371727)",03:04:00,238,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ3Rw3sjxRUkYRuwlajfX4lvM,OPERATIONAL,"Korsdalsvej 77, 2610 Rødovre, Denmark",36 41 07 58,02:00:00,http://www.espehus.dk/,"('1200', '2100'); ('1200', '1600'); ('1200', '1600'); ('1200', '1600'); ('1200', '1600'); ('1200', '2100'); ('1200', '2100')",1900-04-17 18:00:00,Rødovre,,0,1
14,Espehus Kro,"Korsdalsvej 77, Rødovre","(55.6797591, 12.4370801)",04:07:00,20,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJfd2JLH9RUkYRt1JrOmv35PI,OPERATIONAL,"Korsdalsvej 77, 2610 Rødovre, Denmark",40 55 55 70,,https://espehus.dk/,,1900-04-17 18:00:00,Rødovre,,0,1
