,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,ref
ChIJj6fF7HtWUkYRU7vKWrLPJqQ,OPERATIONAL,"Brøndby Havnevej 20, 2650 Hvidovre, Denmark",41 10 37 40,2.0,https://www.albatrossen.dk/,"('1130', '1630'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100')",ChIJj6fF7HtWUkYRU7vKWrLPJqQ
ChIJu3EP8tRXUkYRic6gYoR43Ds,OPERATIONAL,"Brøndby Havnevej 24, 2650 Hvidovre, Denmark",20 20 22 87,,http://havkatten.dk/,"('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600')",ChIJu3EP8tRXUkYRic6gYoR43Ds
ChIJiT4i0w5XUkYRCmvyVS5JE9w,OPERATIONAL,"Brøndby Havnevej 13, 2650 Hvidovre, Denmark",,,,"('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300')",ChIJiT4i0w5XUkYRCmvyVS5JE9w
ChIJdapK5clWUkYRmKLS85w1D0s,OPERATIONAL,"Vestre Gade 32, 2605 Brøndby, Denmark",61 63 24 94,2.0,http://engtoftegard.dk/,"('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130')",ChIJdapK5clWUkYRmKLS85w1D0s
ChIJd3SvSuNXUkYRExpg8o72LUQ,OPERATIONAL,"Vestre Gade 23, 2605 Brøndby, Denmark",,,,,ChIJd3SvSuNXUkYRExpg8o72LUQ
ChIJnzBp7zRRUkYRxcJ1K0LxKQc,OPERATIONAL,"Brøndbyøster, Brøndbyøster Torv 37, 2605 Brøndby, Denmark",36 83 66 82,2.0,http://sixpence-restaurant.dk/,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",ChIJnzBp7zRRUkYRxcJ1K0LxKQc
ChIJeQEKjzRRUkYRR8riW9eVcDs,OPERATIONAL,"Brøndbyøster Torv 18, 2605 Brøndby, Denmark",36 48 02 21,,https://torvets-cafe.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1200', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",ChIJeQEKjzRRUkYRR8riW9eVcDs
ChIJw0jc8TRRUkYRrv6MklmF90k,OPERATIONAL,"Brøndbyøster Torv 29, 2605 Brøndby, Denmark",35 11 68 88,2.0,http://www.kaisushi.dk/,"('1500', '2200'); ('1200', '2130'); ('1200', '2130'); ('1200', '2130'); ('1200', '2130'); ('1200', '2200'); ('1200', '2200')",ChIJw0jc8TRRUkYRrv6MklmF90k
ChIJqaoK8DRRUkYR74FcYuCrFIo,CLOSED_TEMPORARILY,"Brøndbyøster Torv 21, 2605 Brøndby, Denmark",,,,,ChIJqaoK8DRRUkYR74FcYuCrFIo
ChIJ55nnSTRRUkYRmhqoshskaq4,OPERATIONAL,"Nygårds Pl. 2M, 2605 Brøndby, Denmark",36 48 00 59,2.0,https://www.la-serra.com/,"('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",ChIJ55nnSTRRUkYRmhqoshskaq4
ChIJO3kcjDNRUkYRsjy6NNavUw0,OPERATIONAL,"Nygårds Pl. 3A, 2605 Brøndby, Denmark",88 77 20 70,2.0,http://www.restaurantogcafenielsen.dk/,,ChIJO3kcjDNRUkYRsjy6NNavUw0
ChIJoyVNQjRRUkYRBFkRmwybNxc,OPERATIONAL,"Nygårds Pl. 2, 2605 Brøndby, Denmark",36 47 49 35,,https://www.hungry.dk/broendby/broendby-kebab-grill/?utm_source=google&utm_medium=gmb&utm_campaign=local,"('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000')",ChIJoyVNQjRRUkYRBFkRmwybNxc
ChIJZzbLq2xRUkYRgomONEYr1AY,OPERATIONAL,"Dsb Stations perron, Gillesager 1, 2605 Brøndby, Denmark",91 72 39 39,,http://quickstoptogo.dk/,"('1000', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '0000'); ('1000', '0000')",ChIJZzbLq2xRUkYRgomONEYr1AY
